,Order,MAGRichness,MAGShannons,GeneRichness,GeneShannons,Aerobic,Microaerophillic,Light_driven,N_Reducer,DNRA,Methanotroph,StreamOrder_WHOND,Lat,Long,WC_Height,AvgNPOC,SpC,SO4,NO3,TN,DamDensWs,PctFire2010Ws,PctOw2016Ws,PctIce2016Ws,PctUrbOp2016Ws,PctUrbLo2016Ws,PctUrbMd2016Ws,PctUrbHi2016Ws,PctBl2016Ws,PctDecid2016Ws,PctConif2016Ws,PctMxFst2016Ws,PctShrb2016Ws,PctGrs2016Ws,PctHay2016Ws,PctCrop2016Ws,PctWdWet2016Ws,PctHbWet2016Ws,PrecipWs,TmaxWs,TmeanWs,RunoffWs,PopDen2010Ws,WsAreaSqKm,WWTPAllDensWs,PrecipSite,AridityWs,NPPWs
S19S_0087,16,51,2.535603482,460,3.145996466,465.8639158,275.6241529,83.49590431,14.49592661,45.82261811,0,2,43.1231912,-116.7745057,2,1.69,177.2,1.74,0.21,0.32,0,0,0,0,0,0,0,0,0,0.252429635,34.01489335,0,64.64091884,1.091758172,0,0,0,0,809.939824,12.25694985,6.613717996,107.993563,0.315202957,14.2614,0,621.2000122,0.3211,3521
S19S_0039,17,308,2.733935358,3582,2.953874853,10879.47642,7044.166999,4074.162012,348.8578177,42.29540334,0,3,35.966243,-84.357361,20,3.03,220,13.28,7.82,2.22,0,0,0.062317499,0,15.64169219,15.0220782,10.43551029,6.50060537,0.0195855,40.91766968,1.48849797,3.774659925,0.571540489,0.770956485,2.49448045,0,2.259454455,0.040951499,1342.137559,20.46643322,14.47648801,662,295.500099,50.5476,0.039566666,1332.160034,0.9466,11659
S19S_0053,18,426,2.9176804,7832,3.522964827,39919.39469,26230.34035,6489.882319,1873.555942,253.4657203,3.425762278,1,41.869583,-72.796767,19,2.523333333,308,14.99,2.89,1.03,0.05834254,0,3.409538025,0,8.206625005,4.853375863,2.812553821,0.607975939,0.203242072,29.81336455,3.465616874,35.17684091,0.440299479,0.580251564,2.041172097,0.407184254,7.62896385,0.352995703,1299.71236,14.10099693,8.408096947,696.4212411,136.1645233,1285.5114,0.013224309,1210.310059,1.1672,10953
S19S_0099,19,457,4.445420725,21318,2.654454684,7610.279251,3719.594449,6685.70439,650.2394821,157.5724237,11.52718704,7,39.2386771,-84.7123967,20.47,0.98,657,47.79,4.43,1.51,0.01037803,0,0.998524698,0,7.512843493,5.853728959,3.268535432,1.154851083,0.134789454,11.84731648,0.224646067,0.581533428,0.029634818,0.469124247,7.629850242,59.80093165,0.276407248,0.217282703,1017.070493,16.41670514,10.89252149,344.9963901,132.6137958,9924.8121,0.024987879,1071.430054,0.8321,7401
S19S_0062,21,81,2.506788874,230,3.577769778,3274.682302,1709.301279,186.7356176,151.469052,110.0606433,0,5,38.544778,-106.950056,40,1.7,194.2,13.78,0,0.29,0.001909622,0,0.372983497,0.267904652,0.690660529,0.223872594,0.113878382,0.017874059,2.363741233,10.99247777,40.77554169,1.998732317,31.24093407,3.907441246,2.054829365,0,3.04199304,1.937135558,732.9518037,8.946375289,1.542254183,313.5882105,2.978364019,2618.3196,0.003819243,261.7000122,0.4598,4001
S19S_0044,22,269,2.354584538,3318,3.227259125,31182.61484,20965.33275,8243.556936,2682.074617,96.68512918,0.778934986,3,33.130796,-79.810168,24,13.09333333,94,4.68,0.4,0.55,0,0,0.050766623,0,3.985412747,0.31484621,0.011177972,0,0,0.027013432,32.85904577,0.002328744,0.142984891,0.109450975,0.145779384,0.127149431,62.17094845,0.053095367,1221.295229,24.29070496,18.08701995,337.2361253,4.199167775,193.2372,0,1200.160034,0.7973,6577
S19S_0016,24,81,2.686404755,700,2.500521129,1293.929143,902.1535482,540.5025812,79.49165373,453.9632675,0,2,39.10415,-96.60276,16,0.953333333,597,36.2,0,0.41,0,0,0,0,0,0,0.006777364,0,0,10.59301932,0,0,0,89.37309387,0,0,0,0.027109454,868.4104469,18.89439002,12.46459493,235,7.341498066,13.2795,0,857.8099976,0.5891,5111
S19S_0040,25,120,2.753950336,1007,3.69464485,950.3084649,695.0556342,318.1614699,16.51001369,167.0316574,0.180269479,1,39.08766,-96.58479,10,0.94,486,31.91,0,0.2,0,0,0,0,0,0,0,0,0,4.123144585,0,0,0,95.87685542,0,0,0,0,871.1361676,18.83270092,12.41532015,235,7.178640148,1.6371,0,868.0300293,0.5909,5213
S19S_0034,26,46,2.363786264,335,2.665773109,647.6062918,397.265953,107.0656512,13.51933463,14.87204222,0,1,35.868,-106.5233,4,1.226666667,55.9,3.5,1.17,0.41,0,0,0,0,0.144875045,0,0,0,0.181093807,0,23.01702282,3.132922854,0.941687794,63.7631293,0,0,0,8.819268381,755.4832906,10.5431334,3.943705122,23,1.266652397,4.9698,0,709.460022,0.5824,4145
S19S_0009,27,467,5.004497261,26855,5.876598566,9315.613824,6489.959896,1996.815335,158.5867812,688.9218549,25.75323173,6,42.9875,-108.3982,6,2.705,580,160.13,0,0.53,0.002645822,0.03245813,0.611575646,0.04059098,0.639271297,0.24717269,0.09499315,0.01943458,0.583861679,0.815721165,15.44151574,0.089644519,65.34145788,10.0384094,3.210845412,0.586664215,0.976802878,1.26203877,419.9585325,11.92565659,4.722031733,216.2593168,3.076248982,4913.4069,0.003256396,201.3999939,0.2376,2242
S19S_0078,28,282,3.493646788,7761,4.46690186,7470.483143,7228.575436,690.962736,635.664654,1712.319604,5.194047879,2,43.43138889,-123.5855556,30,2.433333333,109.3,8.6,0,0.89,0,0,0,0,1.993608279,0.053264343,0.026632172,0.003804596,0.003804596,0.924516816,70.4877492,5.919951301,13.69654543,6.810226754,0.034241364,0,0.030436768,0.015218384,1249.284706,17.16798215,11.47230317,852,3.501236507,23.6556,0,1164.130005,1.2888,9674
S19S_0097,29,317,2.421267776,3721,3.33100348,11457.0254,6932.738313,3464.217854,614.1417185,234.8047799,0.855171094,5,41.720744,-111.88642,22,0.906666667,455,14.24,1.06,0.39,0.00485337,0,0.015288115,0,1.601383294,0.813889346,0.502885398,0.126111352,0.004992038,26.95294755,28.13568608,2.814885258,35.42618274,1.446942127,0.698323674,1.063678433,0.342079383,0.054725213,824.230594,11.54274269,5.286043962,275.8717845,22.29412599,1442.2968,0.005546709,437.2799988,0.3307,4043
S19S_0098,30,58,1.920785606,432,3.341354952,1398.753085,1008.521249,777.6457959,24.39999283,709.1025585,0,3,41.950373,-111.580465,7.5,0.866666667,296,1.9,0.65,0.31,0,0,0.015908157,0,1.250115997,0.019885196,0.003977039,0.00132568,0,25.27540997,33.41640926,5.516153408,33.86714038,0.201503321,0,0,0.399029602,0.033141994,1127.528556,9.586895256,3.754816361,276.2875664,1.808250238,67.8897,0,843.8800049,0.3782,3051
S19S_0063,31,319,2.288054222,5693,3.406769911,57748.43512,26107.97869,17889.43059,64.40127358,43.90340764,1.242497471,6,30.250278,-97.709566,40,2.076666667,537,29.2,1.85,0.71,0.006775606,0,0.533392748,0,2.23679318,0.864916153,0.48165048,0.143671557,0.079653093,0.963365045,4.653316493,0.08230359,66.78188068,8.566496464,0.351803162,14.03740067,0.154235495,0.069121197,588.1304093,25.11376765,17.82712042,18.29811347,11.88399781,89881.2558,0.000734,862.960022,0.2625,3922
S19S_0030,33,36,2.400616829,190,2.477887849,505.1717458,324.8736731,71.67390082,15.19131486,13.48693229,0,2,45.792233,-121.929928,32,0.386666667,38.3,0.3,0.24,NA,0,0,0,0,3.64281109,2.471523748,0,0.010745755,0,0.51579626,90.02793896,0.988609499,0.644745326,1.01010101,0.096711799,0.268643886,0.322372663,0,2539.7383,14.26062874,8.963277244,1134,10.70917993,8.3754,0,2309.080078,1.9117,8146
S19S_0017,34,382,2.785309779,6275,3.841775735,38480.12514,19025.59065,13460.54385,752.6942375,528.5045257,0.763768716,3,38.94684,-96.44389,5,2.786666667,371,8.08,1.2,0.85,0,0,0.384366556,0,2.07786277,0.582258249,0.053278533,0,0.007611219,3.132016592,0,0.087529018,0.525174107,74.3578034,8.1592267,10.63287285,0,0,921.7165082,18.51493986,12.21321542,235,1.929884052,23.6493,0,922.1799927,0.5949,5315
