genome	taxonomy
NASQAN2011_262_B_bin.4.fa	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__RFTU01; s__NASQAN2011_262_B_bin.4
NASQAN2011_262_B_bin.47.fa	Root; d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Pseudanabaenales; f__Pseudanabaenaceae; g__Pseudanabaena; s__Pseudanabaena sp014696925
NASQAN2011_262_B_bin.51.fa	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Pedosphaerales; f__UBA9464; g__UBA6176; s__NASQAN2011_262_B_bin.51
NASQAN2011_262_F_bin.5.fa	Root; d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Cyanobacteriales; f__Nostocaceae; g__Cuspidothrix; s__Cuspidothrix issatschenkoi
NASQAN2011_265_B_bin.14.fa	Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Polymorphobacter; s__Polymorphobacter sp903939555
NASQAN2011_265_B_bin.27.fa	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylomonadaceae; g__UBA10906; s__UBA10906 sp903953455
NASQAN2011_265_B_bin.57.fa	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__SYFN01; s__NASQAN2011_265_B_bin.57
NASQAN2011_275_B_bin.1.fa	Root; d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__IMCC26256; f__IMCC26256; g__IMCC26256; s__NASQAN2011_275_B_bin.1
NASQAN2011_275_B_bin.22.fa	Root; d__Bacteria; p__Bacteroidota; c__Kapabacteria; o__Kapabacteriales; f__UBA961; g__UBA961; s__UBA961 sp005788035
NASQAN2011_275_B_bin.27.fa	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Saprospiraceae; g__BJGN01; s__NASQAN2011_275_B_bin.27
NASQAN2011_275_B_bin.38.fa	Root; d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Acidimicrobiales; f__Ilumatobacteraceae; g__BACL27; s__BACL27 sp014190055
NASQAN2011_275_B_bin.4.fa	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__AKYH767-A; f__OLB10; g__NASQAN2011_275_B_bin.4; s__NASQAN2011_275_B_bin.4
NASQAN2011_275_B_bin.41.fa	Root; d__Bacteria; p__Acidobacteriota; c__Holophagae; o__Holophagales; f__Holophagaceae; g__UBA12189; s__UBA12189 sp003530835
NASQAN2011_275_B_bin.44.fa	Root; d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Acidimicrobiales; f__Ilumatobacteraceae; g__Casp-actino8; s__NASQAN2011_275_B_bin.44
NASQAN2011_275_B_bin.56.fa	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Steroidobacterales; f__Steroidobacteraceae; g__UBA964; s__NASQAN2011_275_B_bin.56
NASQAN2011_275_B_bin.60.fa	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__SXYR01; s__SXYR01 sp017856605
NASQAN2011_275_F_bin.24.fa	Root; d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Acidimicrobiales; f__Ilumatobacteraceae; g__F1-60-MAGs027; s__F1-60-MAGs027 sp017853375
NASQAN2011_286_A_bin.24.fa	Root; d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Nanopelagicales; f__Nanopelagicaceae; g__MAG-120802; s__NASQAN2011_286_A_bin.24
NASQAN2011_286_B_bin.12.fa	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Sediminibacterium; s__Sediminibacterium sp017856545
NASQAN2011_286_B_bin.8.fa	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__SXYR01; s__NASQAN2011_286_B_bin.8
NASQAN2011_286_F_bin.2.fa	Root; d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Nanopelagicales; f__Nanopelagicaceae; g__Planktophila; s__NASQAN2011_286_F_bin.2
NASQAN2011_286_F_bin.8.fa	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Hylemonella; s__Hylemonella sp017853735
NASQAN2011_332_A_bin.19.fa	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Saprospiraceae; g__UBA6168; s__NASQAN2011_332_A_bin.19
NASQAN2011_332_B_bin.3.fa	Root; d__Bacteria; p__Cyanobacteria; c__Vampirovibrionia; o__Caenarcaniphilales; f__LMEP-6097; g__NASQAN2011_332_B_bin.3; s__NASQAN2011_332_B_bin.3
NASQAN2011_332_B_bin.40.fa	Root; d__Bacteria; p__Bacteroidota; c__Kapabacteria; o__Kapabacteriales; f__Kapabacteriaceae; g__UBA10438; s__NASQAN2011_332_B_bin.40
NASQAN2011_332_B_bin.49.fa	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Opitutales; f__UBA953; g__UBA953; s__UBA953 sp005798925
NASQAN2011_332_B_bin.51.fa	Root; d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Nanopelagicales; f__AcAMD-5; g__ATZT02; s__NASQAN2011_332_B_bin.51
NASQAN2011_332_B_bin.6.fa	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Akkermansiaceae; g__Luteolibacter; s__NASQAN2011_332_B_bin.6
NASQAN2011_433_B_bin.34.fa	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__UA16; g__NASQAN2011_433_B_bin.34; s__NASQAN2011_433_B_bin.34
NASQAN2011_433_B_bin.6.fa	Root; d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Nanopelagicales; f__UBA5976; g__JAFMIT01; s__NASQAN2011_433_B_bin.6
NASQAN2011_458_A_bin.7.fa	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__NASQAN2011_458_A_bin.7
NASQAN2011_458_B_bin.12.fa	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__NASQAN2011_458_B_bin.12; g__NASQAN2011_458_B_bin.12; s__NASQAN2011_458_B_bin.12
NASQAN2011_458_B_bin.9.fa	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Crocinitomicaceae; g__M0103; s__NASQAN2011_458_B_bin.9
NASQAN2014_035_B_bin.38.fa	Root; d__Bacteria; p__Firmicutes; c__Bacilli; o__RFN20; f__CAG-826; g__UBA970; s__NASQAN2014_035_B_bin.38
NASQAN2014_035_B_bin.44.fa	Root; d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__PCC-6307; f__Cyanobiaceae; g__NIES-981; s__NASQAN2014_035_B_bin.44
NASQAN2014_035_B_bin.49.fa	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__SXYR01; s__NASQAN2014_035_B_bin.49
NASQAN2014_035_B_bin.50.fa	Root; d__Bacteria; p__Planctomycetota; c__Planctomycetia; o__Planctomycetales; f__Planctomycetaceae; g__SXXK01; s__NASQAN2014_035_B_bin.50
NASQAN2014_035_B_bin.8.fa	Root; d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__SW-4-49-11; f__SW-4-49-11; g__NASQAN2014_035_B_bin.8; s__NASQAN2014_035_B_bin.8
NASQAN2014_035_F_bin.19.fa	Root; d__Bacteria; p__Chloroflexota; c__Limnocylindria; o__Limnocylindrales; f__Limnocylindraceae; g__Limnocylindrus; s__NASQAN2014_035_F_bin.19
NASQAN2014_085_A_bin.4.fa	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Chthoniobacterales; f__JACTMZ01; g__JACTMZ01; s__NASQAN2014_085_A_bin.4
NASQAN2014_085_B_bin.3.fa	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Steroidobacterales; f__Steroidobacteraceae; g__UBA964; s__UBA964 sp017853555
NASQAN2014_085_F_bin.9.fa	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Polynucleobacter; s__Polynucleobacter sp002359975
NASQAN2014_141_F_bin.14.fa	Root; d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Microbacteriaceae; g__Rhodoluna; s__NASQAN2014_141_F_bin.14
NASQAN2014_141_F_bin.24.fa	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Crocinitomicaceae; g__UBA952; s__UBA952 sp002293185
NASQAN2014_144_A_bin.5.fa	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Hydrogenophaga; s__NASQAN2014_144_A_bin.5
NASQAN2014_144_B_bin.21.fa	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__SYFN01; s__NASQAN2014_144_B_bin.21
NASQAN2014_144_B_bin.33.fa	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Limnohabitans_A; s__Limnohabitans_A sp003063645
NASQAN2014_144_B_bin.42.fa	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Pedosphaerales; f__UBA9464; g__SXXZ01; s__NASQAN2014_144_B_bin.42
NASQAN2014_144_B_bin.63.fa	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Limnohabitans; s__NASQAN2014_144_B_bin.63
NASQAN2014_144_B_bin.79.fa	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Crocinitomicaceae; g__UBA952; s__NASQAN2014_144_B_bin.79
