genome	taxonomy
blackwarrior_2019_sw_WHONDRS-S19S_0021_B_bin.25.fa	Root; d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__PCC-6307; f__Cyanobiaceae; g__Vulcanococcus; s__blackwarrior_2019_sw_WHONDRS-S19S_0021_B_bin.25
blackwarrior_2019_sw_WHONDRS-S19S_0021_B_bin.30.fa	Root; d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Acidimicrobiales; f__Ilumatobacteraceae; g__BACL27; s__blackwarrior_2019_sw_WHONDRS-S19S_0021_B_bin.30
blackwarrior_2019_sw_WHONDRS-S19S_0021_B_bin.31.fa	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__RFTU01; s__RFTU01 sp009925955
blackwarrior_2019_sw_WHONDRS-S19S_0021_B_bin.5.fa	Root; d__Bacteria; p__Bacteroidota; c__Kapabacteria; o__Kapabacteriales; f__Kapabacteriaceae; g__UBA10438; s__blackwarrior_2019_sw_WHONDRS-S19S_0021_B_bin.5
blackwarrior_2019_sw_WHONDRS-S19S_0021_B_bin.58.fa	Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Pelagibacterales; f__Pelagibacteraceae; g__Fonsibacter; s__Fonsibacter ubiquis
blackwarrior_2019_sw_WHONDRS-S19S_0021_B_bin.82.fa	Root; d__Bacteria; p__Planctomycetota; c__UBA1135; o__UBA1135; f__GCA-002686595; g__SXXH01; s__blackwarrior_2019_sw_WHONDRS-S19S_0021_B_bin.82
blackwarrior_2019_sw_WHONDRS-S19S_0021_B_bin.98.fa	Root; d__Bacteria; p__Chloroflexota; c__Anaerolineae; o__Anaerolineales; f__EnvOPS12; g__OLB14; s__blackwarrior_2019_sw_WHONDRS-S19S_0021_B_bin.98
blackwarrior_2019_sw_WHONDRS-S19S_0021_F_bin.17.fa	Root; d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__PCC-6307; f__Cyanobiaceae; g__Vulcanococcus; s__blackwarrior_2019_sw_WHONDRS-S19S_0021_F_bin.17
blueriver_2019_sw_WHONDRS-S19S_0024_A_bin.27.fa	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Spirosomaceae; g__Aquirufa; s__blueriver_2019_sw_WHONDRS-S19S_0024_A_bin.27
blueriver_2019_sw_WHONDRS-S19S_0024_A_bin.53.fa	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Spirosomaceae; g__UBA6715; s__blueriver_2019_sw_WHONDRS-S19S_0024_A_bin.53
blueriver_2019_sw_WHONDRS-S19S_0024_B_bin.104.fa	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Limnohabitans_A; s__blueriver_2019_sw_WHONDRS-S19S_0024_B_bin.104
blueriver_2019_sw_WHONDRS-S19S_0024_B_bin.111.fa	Root; d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Acidimicrobiales; f__Ilumatobacteraceae; g__UBA668; s__blueriver_2019_sw_WHONDRS-S19S_0024_B_bin.111
blueriver_2019_sw_WHONDRS-S19S_0024_B_bin.119.fa	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Opitutales; f__UBA953; g__UBA953; s__blueriver_2019_sw_WHONDRS-S19S_0024_B_bin.119
blueriver_2019_sw_WHONDRS-S19S_0024_B_bin.123.fa	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__SXYR01; s__blueriver_2019_sw_WHONDRS-S19S_0024_B_bin.123
blueriver_2019_sw_WHONDRS-S19S_0024_B_bin.126.fa	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Limnohabitans; s__Limnohabitans sp903850735
blueriver_2019_sw_WHONDRS-S19S_0024_B_bin.13.fa	Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingorhabdus_B; s__blueriver_2019_sw_WHONDRS-S19S_0024_B_bin.13
blueriver_2019_sw_WHONDRS-S19S_0024_B_bin.27.fa	Root; d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Nanopelagicales; f__Nanopelagicaceae; g__Planktophila; s__blueriver_2019_sw_WHONDRS-S19S_0024_B_bin.27
blueriver_2019_sw_WHONDRS-S19S_0024_B_bin.68.fa	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Ramlibacter; s__blueriver_2019_sw_WHONDRS-S19S_0024_B_bin.68
blueriver_2019_sw_WHONDRS-S19S_0024_B_bin.81.fa	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Crocinitomicaceae; g__UBA952; s__blueriver_2019_sw_WHONDRS-S19S_0024_B_bin.81
blueriver_2019_sw_WHONDRS-S19S_0024_B_bin.88.fa	Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Gemmobacter_B; s__blueriver_2019_sw_WHONDRS-S19S_0024_B_bin.88
blueriver_2019_sw_WHONDRS-S19S_0024_B_bin.99.fa	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Ferruginibacter; s__blueriver_2019_sw_WHONDRS-S19S_0024_B_bin.99
blueriver_2019_sw_WHONDRS-S19S_0024_F_bin.15.fa	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__NS11-12g; f__UBA955; g__UBA955; s__blueriver_2019_sw_WHONDRS-S19S_0024_F_bin.15
blueriver_2019_sw_WHONDRS-S19S_0024_F_bin.44.fa	Root; d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Microbacteriaceae; g__Rhodoluna; s__blueriver_2019_sw_WHONDRS-S19S_0024_F_bin.44
cariboucreek_2019_sw_WHONDRS-S19S_0051_B_bin.8.fa	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Rhodoferax; s__cariboucreek_2019_sw_WHONDRS-S19S_0051_B_bin.8
cobbmillcreek_2019_sw_WHONDRS-S19S_0090_A_bin.12.fa	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__JADJDQ01; s__cobbmillcreek_2019_sw_WHONDRS-S19S_0090_A_bin.12
cobbmillcreek_2019_sw_WHONDRS-S19S_0090_A_bin.15.fa	Root; d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__UBA6257; f__2-01-FULL-56-20; g__MHLB01; s__cobbmillcreek_2019_sw_WHONDRS-S19S_0090_A_bin.15
cobbmillcreek_2019_sw_WHONDRS-S19S_0090_A_bin.17.fa	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Limnohabitans; s__cobbmillcreek_2019_sw_WHONDRS-S19S_0090_A_bin.17
cobbmillcreek_2019_sw_WHONDRS-S19S_0090_A_bin.23.fa	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Limnohabitans_A; s__cobbmillcreek_2019_sw_WHONDRS-S19S_0090_A_bin.23
cobbmillcreek_2019_sw_WHONDRS-S19S_0090_B_bin.14.fa	Root; d__Bacteria; p__Patescibacteria; c__ABY1; o__SG8-24; f__SG8-24; g__cobbmillcreek_2019_sw_WHONDRS-S19S_0090_B_bin.14; s__cobbmillcreek_2019_sw_WHONDRS-S19S_0090_B_bin.14
cobbmillcreek_2019_sw_WHONDRS-S19S_0090_B_bin.15.fa	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Aquabacterium; s__cobbmillcreek_2019_sw_WHONDRS-S19S_0090_B_bin.15
cobbmillcreek_2019_sw_WHONDRS-S19S_0090_B_bin.17.fa	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylomonadaceae; g__CAIQWF01; s__cobbmillcreek_2019_sw_WHONDRS-S19S_0090_B_bin.17
cobbmillcreek_2019_sw_WHONDRS-S19S_0090_B_bin.22.fa	Root; d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Microbacteriaceae; g__Rhodoluna; s__cobbmillcreek_2019_sw_WHONDRS-S19S_0090_B_bin.22
cobbmillcreek_2019_sw_WHONDRS-S19S_0090_B_bin.25.fa	Root; d__Bacteria; p__Patescibacteria; c__ABY1; o__SG8-24; f__SG8-24; g__cobbmillcreek_2019_sw_WHONDRS-S19S_0090_B_bin.25; s__cobbmillcreek_2019_sw_WHONDRS-S19S_0090_B_bin.25
cobbmillcreek_2019_sw_WHONDRS-S19S_0090_B_bin.3.fa	Root; d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Microbacteriaceae; g__Rhodoluna; s__cobbmillcreek_2019_sw_WHONDRS-S19S_0090_B_bin.3
cobbmillcreek_2019_sw_WHONDRS-S19S_0090_B_bin.4.fa	Root; d__Bacteria; p__Patescibacteria; c__Paceibacteria; o__UBA9983_A; f__UBA2100; g__UBA10103; s__cobbmillcreek_2019_sw_WHONDRS-S19S_0090_B_bin.4
cobbmillcreek_2019_sw_WHONDRS-S19S_0090_B_bin.5.fa	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Rhodoferax; s__cobbmillcreek_2019_sw_WHONDRS-S19S_0090_B_bin.5
cobbmillcreek_2019_sw_WHONDRS-S19S_0090_B_bin.9.fa	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Steroidobacterales; f__Steroidobacteraceae; g__ZC4RG30; s__cobbmillcreek_2019_sw_WHONDRS-S19S_0090_B_bin.9
columbia_2019_sw_WHONDRS-S19S_0036_B_bin.28.fa	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__SXYR01; s__SXYR01 sp903834825
columbia_2019_sw_WHONDRS-S19S_0036_B_bin.35.fa	Root; d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__PCC-6307; f__Cyanobiaceae; g__Cyanobium; s__Cyanobium sp014191755
columbia_2019_sw_WHONDRS-S19S_0036_B_bin.51.fa	Root; d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__PCC-6307; f__Cyanobiaceae; g__Synechococcus_D; s__Synechococcus_D lacustris
columbia_2019_sw_WHONDRS-S19S_0074_A_bin.2.fa	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Crocinitomicaceae; g__UBA952; s__columbia_2019_sw_WHONDRS-S19S_0074_A_bin.2
columbia_2019_sw_WHONDRS-S19S_0074_A_bin.21.fa	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Crocinitomicaceae; g__UBA952; s__columbia_2019_sw_WHONDRS-S19S_0074_A_bin.21
columbia_2019_sw_WHONDRS-S19S_0074_B_bin.44.fa	Root; d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__PCC-6307; f__Cyanobiaceae; g__Vulcanococcus; s__columbia_2019_sw_WHONDRS-S19S_0074_B_bin.44
columbia_2019_sw_WHONDRS-S19S_0074_B_bin.49.fa	Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__CYK-10; s__columbia_2019_sw_WHONDRS-S19S_0074_B_bin.49
columbia_2019_sw_WHONDRS-S19S_0074_B_bin.83.fa	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Sediminibacterium; s__Sediminibacterium sp009924165
columbia_2019_sw_WHONDRS-S19S_0074_F_bin.13.fa	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Opitutales; f__UBA953; g__UBA953; s__columbia_2019_sw_WHONDRS-S19S_0074_F_bin.13
columbiariver1_2019_sw_WHONDRS-S19S_0075_B_bin.104.fa	Root; d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Phycisphaerales; f__SM1A02; g__SYIB01; s__SYIB01 sp903927725
columbiariver1_2019_sw_WHONDRS-S19S_0075_B_bin.109.fa	Root; d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Phycisphaerales; f__SM1A02; g__SYAC01; s__columbiariver1_2019_sw_WHONDRS-S19S_0075_B_bin.109
columbiariver1_2019_sw_WHONDRS-S19S_0075_B_bin.2.fa	Root; d__Bacteria; p__Planctomycetota; c__UBA1135; o__UBA1135; f__GCA-002686595; g__SXXH01; s__SXXH01 sp903829565
columbiariver1_2019_sw_WHONDRS-S19S_0075_B_bin.3.fa	Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Hyphomonadaceae; g__UBA7672; s__UBA7672 sp903831485
columbiariver1_2019_sw_WHONDRS-S19S_0075_B_bin.60.fa	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__UBA7662; f__columbiariver1_2019_sw_WHONDRS-S19S_0075_B_bin.60; g__columbiariver1_2019_sw_WHONDRS-S19S_0075_B_bin.60; s__columbiariver1_2019_sw_WHONDRS-S19S_0075_B_bin.60
columbiariver1_2019_sw_WHONDRS-S19S_0075_B_bin.61.fa	Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sandarakinorhabdus; s__Sandarakinorhabdus limnophila
columbiariver1_2019_sw_WHONDRS-S19S_0075_B_bin.68.fa	Root; d__Bacteria; p__Planctomycetota; c__UBA1135; o__UBA2386; f__UBA2386; g__SXPK01; s__columbiariver1_2019_sw_WHONDRS-S19S_0075_B_bin.68
columbiariver1_2019_sw_WHONDRS-S19S_0075_B_bin.78.fa	Root; d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Phycisphaerales; f__SM1A02; g__QWPT01; s__QWPT01 sp003671075
columbiariver1_2019_sw_WHONDRS-S19S_0075_B_bin.93.fa	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Opitutales; f__Opitutaceae; g__CAITWF01; s__columbiariver1_2019_sw_WHONDRS-S19S_0075_B_bin.93
columbiariver1_2019_sw_WHONDRS-S19S_0075_F_bin.35.fa	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Methylophilaceae; g__Methylopumilus; s__Methylopumilus planktonicus
columbiariver1_2019_sw_WHONDRS-S19S_0075_F_bin.8.fa	Root; d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__PCC-6307; f__Cyanobiaceae; g__BAIKAL-G1; s__BAIKAL-G1 sp016463595
columbiariver2_2019_sw_WHONDRS-S19S_0076_A_bin.15.fa	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Opitutales; f__UBA953; g__UBA953; s__columbiariver2_2019_sw_WHONDRS-S19S_0076_A_bin.15
columbiariver2_2019_sw_WHONDRS-S19S_0076_A_bin.38.fa	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__Flavobacterium sp004293045
columbiariver2_2019_sw_WHONDRS-S19S_0076_A_bin.42.fa	Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Erythrobacter; s__columbiariver2_2019_sw_WHONDRS-S19S_0076_A_bin.42
columbiariver2_2019_sw_WHONDRS-S19S_0076_B_bin.24.fa	Root; d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__Gemmatimonas; s__Gemmatimonas sp002737115
columbiariver2_2019_sw_WHONDRS-S19S_0076_B_bin.52.fa	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Schleiferiaceae; g__columbiariver2_2019_sw_WHONDRS-S19S_0076_B_bin.52; s__columbiariver2_2019_sw_WHONDRS-S19S_0076_B_bin.52
columbiariver2_2019_sw_WHONDRS-S19S_0076_B_bin.9.fa	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__NS11-12g; f__UBA955; g__UBA955; s__columbiariver2_2019_sw_WHONDRS-S19S_0076_B_bin.9
columbiariver2_2019_sw_WHONDRS-S19S_0076_F_bin.27.fa	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Schleiferiaceae; g__TMED14; s__columbiariver2_2019_sw_WHONDRS-S19S_0076_F_bin.27
columbiariver2_2019_sw_WHONDRS-S19S_0076_F_bin.37.fa	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__JJ008; s__JJ008 sp002378975
columbiariver2_2019_sw_WHONDRS-S19S_0076_F_bin.38.fa	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Sediminibacterium; s__columbiariver2_2019_sw_WHONDRS-S19S_0076_F_bin.38
columbiariver2_2019_sw_WHONDRS-S19S_0076_F_bin.5.fa	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__UBA7662; f__UBA7662; g__SYHX01; s__columbiariver2_2019_sw_WHONDRS-S19S_0076_F_bin.5
comocreek_2019_sw_WHONDRS-S19S_0026_A_bin.10.fa	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Saprospiraceae; g__comocreek_2019_sw_WHONDRS-S19S_0026_A_bin.10; s__comocreek_2019_sw_WHONDRS-S19S_0026_A_bin.10
comocreek_2019_sw_WHONDRS-S19S_0026_B_bin.5.fa	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__CAIODY01; g__comocreek_2019_sw_WHONDRS-S19S_0026_B_bin.5; s__comocreek_2019_sw_WHONDRS-S19S_0026_B_bin.5
comocreek_2019_sw_WHONDRS-S19S_0026_B_bin.6.fa	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__JAABRC01; s__comocreek_2019_sw_WHONDRS-S19S_0026_B_bin.6
comocreek_2019_sw_WHONDRS-S19S_0026_F_bin.2.fa	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Sphaerotilus; s__comocreek_2019_sw_WHONDRS-S19S_0026_F_bin.2
comocreek_2019_sw_WHONDRS-S19S_0026_F_bin.4.fa	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Saprospiraceae; g__JAAFJT01; s__comocreek_2019_sw_WHONDRS-S19S_0026_F_bin.4
crookedriver_2019_sw_WHONDRS-S19S_0041_A_bin.19.fa	Root; d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Microbacteriaceae; g__MWH-TA3; s__crookedriver_2019_sw_WHONDRS-S19S_0041_A_bin.19
crookedriver_2019_sw_WHONDRS-S19S_0041_A_bin.36.fa	Root; d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Nanopelagicales; f__UBA5976; g__UBA5976; s__crookedriver_2019_sw_WHONDRS-S19S_0041_A_bin.36
crookedriver_2019_sw_WHONDRS-S19S_0041_A_bin.68.fa	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Opitutales; f__Opitutaceae; g__ER46; s__crookedriver_2019_sw_WHONDRS-S19S_0041_A_bin.68
crookedriver_2019_sw_WHONDRS-S19S_0041_B_bin.106.fa	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Opitutales; f__Opitutaceae; g__Lacunisphaera; s__Lacunisphaera sp002304425
crookedriver_2019_sw_WHONDRS-S19S_0041_B_bin.45.fa	Root; d__Bacteria; p__Planctomycetota; c__Planctomycetia; o__Gemmatales; f__Gemmataceae; g__UBA969; s__UBA969 sp003671255
crookedriver_2019_sw_WHONDRS-S19S_0041_B_bin.51.fa	Root; d__Bacteria; p__Desulfobacterota_B; c__Binatia; o__UBA12015; f__UBA12015; g__REEB422; s__crookedriver_2019_sw_WHONDRS-S19S_0041_B_bin.51
crookedriver_2019_sw_WHONDRS-S19S_0041_F_bin.13.fa	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Nitrosomonadaceae; g__VFJL01; s__VFJL01 sp013450215
crookedriver_2019_sw_WHONDRS-S19S_0041_F_bin.20.fa	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Hydrogenophaga; s__crookedriver_2019_sw_WHONDRS-S19S_0041_F_bin.20
crookedriver_2019_sw_WHONDRS-S19S_0041_F_bin.22.fa	Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Micropepsales; f__Micropepsaceae; g__Rhizomicrobium; s__crookedriver_2019_sw_WHONDRS-S19S_0041_F_bin.22
crookedriver_2019_sw_WHONDRS-S19S_0041_F_bin.35.fa	Root; d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Nanopelagicales; f__Nanopelagicaceae; g__UBA7398; s__UBA7398 sp002470135
deadrun_2019_sw_WHONDRS-S19S_0006_A_bin.13.fa	Root; d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Microbacteriaceae; g__Aquiluna; s__Aquiluna sp002479805
deadrun_2019_sw_WHONDRS-S19S_0006_A_bin.19.fa	Root; d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Microbacteriaceae; g__Aquiluna; s__deadrun_2019_sw_WHONDRS-S19S_0006_A_bin.19
deadrun_2019_sw_WHONDRS-S19S_0006_A_bin.23.fa	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__deadrun_2019_sw_WHONDRS-S19S_0006_A_bin.23
deadrun_2019_sw_WHONDRS-S19S_0006_A_bin.25.fa	Root; d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Microbacteriaceae; g__Aquiluna; s__deadrun_2019_sw_WHONDRS-S19S_0006_A_bin.25
deadrun_2019_sw_WHONDRS-S19S_0006_A_bin.29.fa	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Spirosomaceae; g__Aquirufa; s__Aquirufa sp002454335
deadrun_2019_sw_WHONDRS-S19S_0006_B_bin.17.fa	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Spirosomaceae; g__Aquirufa; s__deadrun_2019_sw_WHONDRS-S19S_0006_B_bin.17
deadrun_2019_sw_WHONDRS-S19S_0006_B_bin.22.fa	Root; d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Nanopelagicales; f__Nanopelagicaceae; g__Planktophila; s__deadrun_2019_sw_WHONDRS-S19S_0006_B_bin.22
deadrun_2019_sw_WHONDRS-S19S_0006_B_bin.31.fa	Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Gemmobacter_B; s__deadrun_2019_sw_WHONDRS-S19S_0006_B_bin.31
deadrun_2019_sw_WHONDRS-S19S_0006_B_bin.32.fa	Root; d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Microbacteriaceae; g__Rhodoluna; s__deadrun_2019_sw_WHONDRS-S19S_0006_B_bin.32
deadrun_2019_sw_WHONDRS-S19S_0006_B_bin.33.fa	Root; d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Nanopelagicales; f__Nanopelagicaceae; g__Planktophila; s__deadrun_2019_sw_WHONDRS-S19S_0006_B_bin.33
deadrun_2019_sw_WHONDRS-S19S_0006_B_bin.37.fa	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Crocinitomicaceae; g__UBA952; s__deadrun_2019_sw_WHONDRS-S19S_0006_B_bin.37
deadrun_2019_sw_WHONDRS-S19S_0006_B_bin.41.fa	Root; d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Microbacteriaceae; g__Rhodoluna; s__deadrun_2019_sw_WHONDRS-S19S_0006_B_bin.41
deadrun_2019_sw_WHONDRS-S19S_0006_B_bin.8.fa	Root; d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Microbacteriaceae; g__Rhodoluna; s__Rhodoluna planktonica
deadrun_2019_sw_WHONDRS-S19S_0006_B_bin.9.fa	Root; d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Microbacteriaceae; g__MWH-TA3; s__deadrun_2019_sw_WHONDRS-S19S_0006_B_bin.9
deadrun_2019_sw_WHONDRS-S19S_0006_F_bin.11.fa	Root; d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Microbacteriaceae; g__Rhodoluna; s__deadrun_2019_sw_WHONDRS-S19S_0006_F_bin.11
deadrun_2019_sw_WHONDRS-S19S_0006_F_bin.21.fa	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Limnohabitans_A; s__deadrun_2019_sw_WHONDRS-S19S_0006_F_bin.21
deadrun_2019_sw_WHONDRS-S19S_0006_F_bin.3.fa	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Crocinitomicaceae; g__UBA952; s__deadrun_2019_sw_WHONDRS-S19S_0006_F_bin.3
deadrun_2019_sw_WHONDRS-S19S_0006_F_bin.9.fa	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Polynucleobacter; s__deadrun_2019_sw_WHONDRS-S19S_0006_F_bin.9
dobsoncreek_2019_sw_WHONDRS-S19S_0087_A_bin.37.fa	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__UBA9547; g__dobsoncreek_2019_sw_WHONDRS-S19S_0087_A_bin.37; s__dobsoncreek_2019_sw_WHONDRS-S19S_0087_A_bin.37
dobsoncreek_2019_sw_WHONDRS-S19S_0087_B_bin.101.fa	Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Chakrabartia; s__dobsoncreek_2019_sw_WHONDRS-S19S_0087_B_bin.101
dobsoncreek_2019_sw_WHONDRS-S19S_0087_B_bin.24.fa	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__GCA-002722245; g__dobsoncreek_2019_sw_WHONDRS-S19S_0087_B_bin.24; s__dobsoncreek_2019_sw_WHONDRS-S19S_0087_B_bin.24
dobsoncreek_2019_sw_WHONDRS-S19S_0087_B_bin.4.fa	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Chthoniobacterales; f__Chthoniobacteraceae; g__dobsoncreek_2019_sw_WHONDRS-S19S_0087_B_bin.4; s__dobsoncreek_2019_sw_WHONDRS-S19S_0087_B_bin.4
dobsoncreek_2019_sw_WHONDRS-S19S_0087_B_bin.83.fa	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Chthoniobacterales; f__Chthoniobacteraceae; g__dobsoncreek_2019_sw_WHONDRS-S19S_0087_B_bin.83; s__dobsoncreek_2019_sw_WHONDRS-S19S_0087_B_bin.83
