user_genome,classification
assiniboineriver_2019_sw_WHONDRS-S19S_0005_AN_bin.39,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Limnohabitans_A;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_AN_bin.41,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__JJ008;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_AN_bin.46,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Nanopelagicales;f__Nanopelagicaceae;g__MAG-120802;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_AN_bin.48,d__Bacteria;p__Bacillota;c__Bacilli;o__RFN20;f__CAG-826;g__UBA970;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_AN_bin.49,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__UBA964;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_AN_bin.8,d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__UBA3006;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_AN_bin.9,d__Bacteria;p__Bacteroidota;c__Kapabacteria;o__Kapabacteriales;f__UBA961;g__UBA961;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_A_bin.1,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__Deianiraeaceae;g__;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_A_bin.10,d__Bacteria;p__Myxococcota;c__UBA796;o__UBA796;f__SXON01;g__CAMAXZ01;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_A_bin.102,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__JJ008;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_A_bin.105,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Limnohabitans;s__Limnohabitans sp005789825
assiniboineriver_2019_sw_WHONDRS-S19S_0005_A_bin.119,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__UBA964;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_A_bin.121,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__PNKF01;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_A_bin.123,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Polaromonas;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_A_bin.13,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA9464;g__SXXZ01;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_A_bin.136,d__Bacteria;p__Bdellovibrionota;c__Oligoflexia;o__Silvanigrellales;f__Silvanigrellaceae;g__RFOM01;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_A_bin.139,d__Bacteria;p__Bdellovibrionota;c__Oligoflexia;o__Silvanigrellales;f__Silvanigrellaceae;g__RFOM01;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_A_bin.141,d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__UBA3006;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_A_bin.17,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA9464;g__UBA9464;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_A_bin.21,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__PNKF01;s__
assiniboineriver_2019_sw_WHONDRS-S19S_0005_A_bin.23,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_A;g__UBA2463;s__
