user_genome,classification
erpe_2019_sw_WHONDRS-S19S_0045_B_bin.72,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__AQU-01;g__AQU-01;s__
erpe_2019_sw_WHONDRS-S19S_0045_B_bin.73,d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__PALSA-1337;g__JAGOVB01;s__JAGOVB01 sp018060945
erpe_2019_sw_WHONDRS-S19S_0045_B_bin.74,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__JACPYF01;g__;s__
erpe_2019_sw_WHONDRS-S19S_0045_B_bin.80,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__UBA4664;f__JAHWKN01;g__;s__
erpe_2019_sw_WHONDRS-S19S_0045_B_bin.82,d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA918;g__OLB19;s__
erpe_2019_sw_WHONDRS-S19S_0045_B_bin.84,d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA6257;f__1-14-0-10-44-23;g__;s__
erpe_2019_sw_WHONDRS-S19S_0045_B_bin.85,d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__CAIRYW01;g__;s__
erpe_2019_sw_WHONDRS-S19S_0045_B_bin.86,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__AWTP1-31;g__;s__
erpe_2019_sw_WHONDRS-S19S_0045_B_bin.88,d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__Daviesbacterales;f__UBA10151;g__;s__
erpe_2019_sw_WHONDRS-S19S_0045_B_bin.89,d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Obscuribacterales;f__Obscuribacteraceae;g__Ga0077546;s__
erpe_2019_sw_WHONDRS-S19S_0045_B_bin.92,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__UBA4665;g__JAGQNR01;s__JAGQNR01 sp020427985
erpe_2019_sw_WHONDRS-S19S_0045_B_bin.93,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__CAIOMD01;g__;s__
erpe_2019_sw_WHONDRS-S19S_0045_B_bin.95,d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__UBA1400;f__PJMF01;g__UBA1364;s__
erpe_2019_sw_WHONDRS-S19S_0045_B_bin.97,d__Bacteria;p__Patescibacteria;c__ABY1;o__SG8-24;f__UBA9934;g__JAGORL01;s__
erpe_2019_sw_WHONDRS-S19S_0045_F_bin.11,d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Obscuribacterales;f__Obscuribacteraceae;g__Ga0077546;s__
erpe_2019_sw_WHONDRS-S19S_0045_F_bin.14,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Rhodoluna;s__
erpe_2019_sw_WHONDRS-S19S_0045_F_bin.24,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__UBA11063;g__Aquella;s__Aquella sp003538525
erpe_2019_sw_WHONDRS-S19S_0045_F_bin.26,d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Moranbacterales;f__UBA1568;g__UBA1568;s__
erpe_2019_sw_WHONDRS-S19S_0045_F_bin.27,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Nanopelagicales;f__S36-B12;g__UBA10649;s__
erpe_2019_sw_WHONDRS-S19S_0045_F_bin.28,d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA918;g__;s__
erpe_2019_sw_WHONDRS-S19S_0045_F_bin.30,d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__EsbW-18;g__;s__
erpe_2019_sw_WHONDRS-S19S_0045_F_bin.34,d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Obscuribacterales;f__Obscuribacteraceae;g__Obscuribacter;s__Obscuribacter sp016718315
erpe_2019_sw_WHONDRS-S19S_0045_F_bin.35,d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__GWA2-44-7;f__UBA8517;g__;s__
erpe_2019_sw_WHONDRS-S19S_0045_F_bin.38,d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA918;g__OLB19;s__
erpe_2019_sw_WHONDRS-S19S_0045_F_bin.43,d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__Levybacterales;f__UBA12049;g__JACROF01;s__
erpe_2019_sw_WHONDRS-S19S_0045_F_bin.46,d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA9973;g__CALRHK01;s__
erpe_2019_sw_WHONDRS-S19S_0045_F_bin.47,d__Bacteria;p__Patescibacteria;c__ABY1;o__Magasanikbacterales;f__UBA922;g__DYFM01;s__
erpe_2019_sw_WHONDRS-S19S_0045_F_bin.55,d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__Zambryskibacteraceae;g__C7867-006;s__
erpe_2019_sw_WHONDRS-S19S_0045_F_bin.57,d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Chromulinivoraceae;g__JACPFN01;s__
erpe_2019_sw_WHONDRS-S19S_0045_F_bin.58,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__Fluviicola;s__
erpe_2019_sw_WHONDRS-S19S_0045_F_bin.59,d__Bacteria;p__Patescibacteria;c__Dojkabacteria;o__SC72;f__SC72;g__JAJTYH01;s__
erpe_2019_sw_WHONDRS-S19S_0045_F_bin.6,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__CAIOMD01;g__;s__
erpe_2019_sw_WHONDRS-S19S_0045_F_bin.63,d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__UBA1406;f__GWC2-37-13;g__JACOTV01;s__JACOTV01 sp016699265
erpe_2019_sw_WHONDRS-S19S_0045_F_bin.66,d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA9973;g__JAGOTH01;s__
erpe_2019_sw_WHONDRS-S19S_0045_F_bin.8,d__Bacteria;p__Patescibacteria;c__Doudnabacteria;o__UBA920;f__UBA920;g__;s__
fraser_2019_sw_WHONDRS-S19S_0001_A_bin.13,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomaceae;g__Aquirufa;s__
fraser_2019_sw_WHONDRS-S19S_0001_A_bin.19,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__
fraser_2019_sw_WHONDRS-S19S_0001_A_bin.2,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__UBA953;g__UBA953;s__UBA953 sp003569405
fraser_2019_sw_WHONDRS-S19S_0001_A_bin.23,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__NS11-12g;f__UBA955;g__UBA955;s__UBA955 sp002737625
fraser_2019_sw_WHONDRS-S19S_0001_B_bin.1,d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__BACL27;s__BACL27 sp016463105
fraser_2019_sw_WHONDRS-S19S_0001_B_bin.12,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__NS11-12g;f__UBA955;g__UBA955;s__UBA955 sp002737625
fraser_2019_sw_WHONDRS-S19S_0001_B_bin.18,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Fonsibacter;s__Fonsibacter sp000510845
fraser_2019_sw_WHONDRS-S19S_0001_B_bin.20,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Nanopelagicales;f__Nanopelagicaceae;g__AAA044-D11;s__
fraser_2019_sw_WHONDRS-S19S_0001_B_bin.21,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Synechococcus_D;s__Synechococcus_D sp009914645
fraser_2019_sw_WHONDRS-S19S_0001_B_bin.22,d__Bacteria;p__Acidobacteriota;c__Holophagae;o__Holophagales;f__Holophagaceae;g__UBA12189;s__UBA12189 sp014189895
fraser_2019_sw_WHONDRS-S19S_0001_B_bin.30,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__SXTU01;g__SXTU01;s__SXTU01 sp945872195
fraser_2019_sw_WHONDRS-S19S_0001_B_bin.33,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__NS11-12g;f__UKL13-3;g__B1;s__
fraser_2019_sw_WHONDRS-S19S_0001_B_bin.36,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__
fraser_2019_sw_WHONDRS-S19S_0001_B_bin.41,d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Gemmatales;f__Gemmataceae;g__UBA969;s__UBA969 sp003671255
fraser_2019_sw_WHONDRS-S19S_0001_B_bin.49,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__NS11-12g;f__UBA955;g__UBA955;s__
fraser_2019_sw_WHONDRS-S19S_0001_B_bin.54,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__Methylopumilus_A;s__Methylopumilus_A universalis_B
fraser_2019_sw_WHONDRS-S19S_0001_B_bin.56,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Rhodoluna;s__
fraser_2019_sw_WHONDRS-S19S_0001_B_bin.6,d__Bacteria;p__Armatimonadota;c__Armatimonadia;o__Armatimonadales;f__Armatimonadaceae;g__CAIRTT01;s__
fraser_2019_sw_WHONDRS-S19S_0001_B_bin.64,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Sediminibacterium;s__
fraser_2019_sw_WHONDRS-S19S_0001_B_bin.69,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__SYAC01;s__
fraser_2019_sw_WHONDRS-S19S_0001_B_bin.7,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__SXYR01;s__SXYR01 sp903834825
fraser_2019_sw_WHONDRS-S19S_0001_B_bin.74,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Nanopelagicales;f__Nanopelagicaceae;g__Nanopelagicus;s__Nanopelagicus sp016462445
fraser_2019_sw_WHONDRS-S19S_0001_F_bin.12,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__SXTU01;g__SXTU01;s__SXTU01 sp945872195
fraser_2019_sw_WHONDRS-S19S_0001_F_bin.16,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Nanopelagicales;f__Nanopelagicaceae;g__Nanopelagicus;s__Nanopelagicus sp016462445
fraser_2019_sw_WHONDRS-S19S_0001_F_bin.2,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Limnohabitans;s__
fraser_2019_sw_WHONDRS-S19S_0001_F_bin.22,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__Methylopumilus;s__Methylopumilus planktonicus
fraser_2019_sw_WHONDRS-S19S_0001_F_bin.3,d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__BACL27;s__BACL27 sp016462185
fraser_2019_sw_WHONDRS-S19S_0001_F_bin.7,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__JAAFJR01;s__
jordanrivershai1_2019_sw_WHONDRS-S19S_0058_A_bin.20,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Fluviibacter;s__Fluviibacter sp018883265
jordanrivershai1_2019_sw_WHONDRS-S19S_0058_A_bin.24,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Diplorickettsiales;f__Diplorickettsiaceae;g__Aquirickettsiella;s__Aquirickettsiella gammari
jordanrivershai1_2019_sw_WHONDRS-S19S_0058_A_bin.27,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Arenimonas;s__
jordanrivershai1_2019_sw_WHONDRS-S19S_0058_B_bin.11,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Limnohabitans_A;s__Limnohabitans_A sp017986605
jordanrivershai1_2019_sw_WHONDRS-S19S_0058_B_bin.20,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__JAGLBJ01;s__
jordanrivershai1_2019_sw_WHONDRS-S19S_0058_B_bin.22,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter sp003987695
jordanrivershai1_2019_sw_WHONDRS-S19S_0058_B_bin.23,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Agitococcus;s__
jordanrivershai1_2019_sw_WHONDRS-S19S_0058_B_bin.24,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__
jordanrivershai1_2019_sw_WHONDRS-S19S_0058_B_bin.27,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Cetobacterium_A;s__Cetobacterium_A somerae
jordanrivershai1_2019_sw_WHONDRS-S19S_0058_B_bin.30,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__Flavobacterium erciyesense
jordanrivershai1_2019_sw_WHONDRS-S19S_0058_B_bin.32,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Arenimonas;s__
jordanrivershai1_2019_sw_WHONDRS-S19S_0058_B_bin.35,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Alteromonadaceae;g__Pararheinheimera;s__
jordanrivershai1_2019_sw_WHONDRS-S19S_0058_B_bin.36,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Diplorickettsiales;f__Diplorickettsiaceae;g__Aquirickettsiella;s__Aquirickettsiella gammari
jordanrivershai1_2019_sw_WHONDRS-S19S_0058_B_bin.4,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Nanopelagicales;f__CAIYMF01;g__;s__
jordanrivershai1_2019_sw_WHONDRS-S19S_0058_B_bin.41,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Fluviibacter;s__Fluviibacter sp018883265
jordanrivershai1_2019_sw_WHONDRS-S19S_0058_B_bin.47,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Aquabacterium;s__
jordanrivershai1_2019_sw_WHONDRS-S19S_0058_B_bin.51,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Alteromonadaceae;g__Pararheinheimera;s__
jordanrivershai1_2019_sw_WHONDRS-S19S_0058_B_bin.8,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Arenimonas;s__
jordanrivershai1_2019_sw_WHONDRS-S19S_0058_F_bin.10,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Sphaerotilus;s__
jordanrivershai1_2019_sw_WHONDRS-S19S_0058_F_bin.12,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Alteromonadaceae;g__Pararheinheimera;s__
jordanrivershai1_2019_sw_WHONDRS-S19S_0058_F_bin.14,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__JAGLBJ01;s__
jordanrivershai1_2019_sw_WHONDRS-S19S_0058_F_bin.2,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Fluviibacter;s__Fluviibacter sp018883265
jordanrivershai1_2019_sw_WHONDRS-S19S_0058_F_bin.3,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__Flavobacterium erciyesense
jordanrivershai1_2019_sw_WHONDRS-S19S_0058_F_bin.4,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Arenimonas;s__
jordanrivershai1_2019_sw_WHONDRS-S19S_0058_F_bin.6,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Agitococcus;s__
jordanrivershai1_2019_sw_WHONDRS-S19S_0058_F_bin.7,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Diplorickettsiales;f__Diplorickettsiaceae;g__Aquirickettsiella;s__Aquirickettsiella gammari
jordanrivershai1_2019_sw_WHONDRS-S19S_0058_F_bin.9,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Alteromonadaceae;g__Pararheinheimera;s__
jordanrivershai3_2019_sw_WHONDRS-S19S_0058_A_bin.13,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tabrizicola_A;s__
jordanrivershai3_2019_sw_WHONDRS-S19S_0058_A_bin.17,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__
jordanrivershai3_2019_sw_WHONDRS-S19S_0058_A_bin.26,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_A;g__UBA954;s__
jordanrivershai3_2019_sw_WHONDRS-S19S_0058_A_bin.27,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomaceae;g__Aquirufa;s__
jordanrivershai3_2019_sw_WHONDRS-S19S_0058_A_bin.29,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__UBA952;s__UBA952 sp004295165
jordanrivershai3_2019_sw_WHONDRS-S19S_0058_A_bin.3,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__Flavobacterium erciyesense
jordanrivershai3_2019_sw_WHONDRS-S19S_0058_A_bin.33,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Limnohabitans_A;s__
jordanrivershai3_2019_sw_WHONDRS-S19S_0058_A_bin.36,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Sediminibacterium;s__
jordanrivershai3_2019_sw_WHONDRS-S19S_0058_A_bin.38,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__Methylotenera;s__
jordanrivershai3_2019_sw_WHONDRS-S19S_0058_A_bin.42,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingorhabdus_B;s__
jordanrivershai3_2019_sw_WHONDRS-S19S_0058_A_bin.5,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Limnohabitans_A;s__
jordanrivershai3_2019_sw_WHONDRS-S19S_0058_A_bin.54,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Limnohabitans_A;s__
jordanrivershai3_2019_sw_WHONDRS-S19S_0058_A_bin.55,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Sediminibacterium;s__
jordanrivershai3_2019_sw_WHONDRS-S19S_0058_A_bin.56,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UA16;g__CAIZGX01;s__
jordanrivershai3_2019_sw_WHONDRS-S19S_0058_A_bin.57,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__
jordanrivershai3_2019_sw_WHONDRS-S19S_0058_A_bin.59,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Algoriphagus;s__
jordanrivershai3_2019_sw_WHONDRS-S19S_0058_A_bin.6,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__
jordanrivershai3_2019_sw_WHONDRS-S19S_0058_A_bin.68,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Aquiluna;s__
jordanrivershai3_2019_sw_WHONDRS-S19S_0058_A_bin.70,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Aquisediminimonas;s__
jordanrivershai3_2019_sw_WHONDRS-S19S_0058_B_bin.102,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polynucleobacter;s__Polynucleobacter sp009923575
jordanrivershai3_2019_sw_WHONDRS-S19S_0058_B_bin.104,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Rhodoluna;s__
jordanrivershai3_2019_sw_WHONDRS-S19S_0058_B_bin.110,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__
jordanrivershai3_2019_sw_WHONDRS-S19S_0058_B_bin.117,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Limnohabitans_A;s__
jordanrivershai3_2019_sw_WHONDRS-S19S_0058_B_bin.119,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Nanopelagicales;f__Nanopelagicaceae;g__MAG-120802;s__
jordanrivershai3_2019_sw_WHONDRS-S19S_0058_B_bin.125,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_A;g__UBA954;s__
jordanrivershai3_2019_sw_WHONDRS-S19S_0058_B_bin.13,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__UBA952;s__UBA952 sp004295165
jordanrivershai3_2019_sw_WHONDRS-S19S_0058_B_bin.14,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Sediminibacterium;s__
jordanrivershai3_2019_sw_WHONDRS-S19S_0058_B_bin.17,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Nanopelagicales;f__Nanopelagicaceae;g__Planktophila;s__
jordanrivershai3_2019_sw_WHONDRS-S19S_0058_B_bin.18,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Rhodoluna;s__Rhodoluna sp024645105
jordanrivershai3_2019_sw_WHONDRS-S19S_0058_B_bin.20,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Nanopelagicales;f__UBA5976;g__UBA5976;s__
jordanrivershai3_2019_sw_WHONDRS-S19S_0058_B_bin.24,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Sediminibacterium;s__Sediminibacterium sp017987615
jordanrivershai3_2019_sw_WHONDRS-S19S_0058_B_bin.28,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__NIES-981;s__
jordanrivershai3_2019_sw_WHONDRS-S19S_0058_B_bin.31,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UA16;g__CAMCTV01;s__
jordanrivershai3_2019_sw_WHONDRS-S19S_0058_B_bin.33,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UA16;g__CAIZGX01;s__
jordanrivershai3_2019_sw_WHONDRS-S19S_0058_B_bin.34,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Sediminibacterium;s__
jordanrivershai3_2019_sw_WHONDRS-S19S_0058_B_bin.35,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomaceae;g__Aquirufa;s__Aquirufa sp903898715
jordanrivershai3_2019_sw_WHONDRS-S19S_0058_B_bin.37,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__UBA953;g__UBA8828;s__
jordanrivershai3_2019_sw_WHONDRS-S19S_0058_B_bin.38,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Rhodoluna;s__
jordanrivershai3_2019_sw_WHONDRS-S19S_0058_B_bin.40,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Nanopelagicales;f__UBA5976;g__ATZT02;s__
jordanrivershai3_2019_sw_WHONDRS-S19S_0058_B_bin.43,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__RFPI01;s__RFPI01 sp009926205
jordanrivershai3_2019_sw_WHONDRS-S19S_0058_B_bin.48,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Sediminibacterium;s__
jordanrivershai3_2019_sw_WHONDRS-S19S_0058_B_bin.51,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Algoriphagus;s__
jordanrivershai3_2019_sw_WHONDRS-S19S_0058_B_bin.54,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__JALRFN01;s__
jordanrivershai3_2019_sw_WHONDRS-S19S_0058_B_bin.55,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__NS11-12g;f__UBA955;g__UBA955;s__UBA955 sp024643755
jordanrivershai3_2019_sw_WHONDRS-S19S_0058_B_bin.58,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Nevskiales;f__Nevskiaceae;g__Solimonas_A;s__
jordanrivershai3_2019_sw_WHONDRS-S19S_0058_B_bin.60,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Aquisediminimonas;s__
jordanrivershai3_2019_sw_WHONDRS-S19S_0058_B_bin.72,d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Rhodoluna;s__
jordanrivershai3_2019_sw_WHONDRS-S19S_0058_B_bin.74,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__Methylotenera;s__
jordanrivershai3_2019_sw_WHONDRS-S19S_0058_B_bin.75,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Sediminibacterium;s__Sediminibacterium sp017856545
