Sample,NPOC_avg,Richness,lengthkm,streamleve,StreamUpdated,EcoRegion,Distance.between.downstream.and.midstream.site..m.,Distance.between.upstream.and.midstream.site..m.,Latitude.of.downstream.site..decimal.degrees.,Longitude.of.downstream.site..decimal.degrees.,Height.of.water.column.at.downstream.sampling.location..cm.,pH.value.from.colorimetric.pH.strip,Water.temperature.at.50..depth.at.downstream.sampling.location.deg.C.,Approximate.distance.from.gauging.station..m.,X00940_Cl_mg_per_L,X00945_SO4_mg_per_L_as_SO4,X71851_NO3_mg_per_L_as_NO3,X00950_F_mg_per_L,X00602_TN_mg_per_L_as_N,NPP
S19S_0025,1.836666667,464,6.547,3,3,GREAT PLAINS,29.3,33.5,33.37853,-97.78275,28,7,26,100,100.78,27.12,0.1,0.19,0.27,4625
S19S_0039,3.03,481,4.416,6,3,EASTERN TEMPERATE FORESTS,64,103,35.966194,-84.359197,7,7.5,22.8,64,9.67,13.28,7.82,0.16,2.22,11659
S19S_0044,13.09333333,421,2.021,2,3,EASTERN TEMPERATE FORESTS,37.47,46.78,33.131027,-79.811134,37,6,24,23.71,7.5,4.68,0.4,0.05,0.55,6577
S19S_0067,2.18,793,10.809,2,3,EASTERN TEMPERATE FORESTS,10,22,42.3921,-85.35412,3 to 13,7.5,20.63,4308,12.15,15.3,6.71,0.08,2.09,6667
S19S_0098,0.866666667,119,0.592,5,3,NORTHWESTERN FORESTED MOUNTAINS,29.8,47,41.950204,-111.580533,5,8.31,10.34,10,1.14,1.9,0.65,0.05,0.31,3051
S19S_0006,1.523333333,344,4.78,3,2,EASTERN TEMPERATE FORESTS,40.5,29,39.311369,-76.717163,6,7.5,25.7,17,311.31,33.45,6.43,0,1.55,29135
S19S_0016,0.953333333,139,0.585,5,2,GREAT PLAINS,67,22,39.10445,-96.6025,17,7.5,18.5,15,1.9,36.2,0.1,0.36,0.41,5111
S19S_0030,0.58,76,3.167,4,2,NORTHWESTERN FORESTED MOUNTAINS,40,30,45.792348,-121.929131,15,6,14.7,30,0.67,0.3,0.24,0.03,0,8146
S19S_0037,0.925,428,3.085,4,2,EASTERN TEMPERATE FORESTS,10,10,39.8577967,-75.7830393,15.9,6.5,19.4,100,13.43,18,18.17,0.05,4.26,6986
S19S_0038,0.816666667,350,3.085,4,2,EASTERN TEMPERATE FORESTS,10,10,39.8594333,-75.7839486,9.4,6.5,19.5,100,12.44,17.88,18.18,0.04,4.23,6986
S19S_0078,2.433333333,488,4.057,3,2,MARINE WEST COAST FOREST,12,14,43.43138889,-123.5855556,10,7,19,0,3.5,8.6,0.1,0.06,0.89,9674
S19S_0087,1.69,109,0.339,4,2,NORTH AMERICAN DESERTS,10,15,43.1233451,-116.7743431,3,7.25,17.1,5,1.1,1.74,0.21,0.14,0.32,3521
S19S_0008,1.87,72,3.194,6,1,NORTHWESTERN FORESTED MOUNTAINS,41,11,36.961112,-119.027785,12,6.5,12.6,25,0.22,0.23,0.1,0.03,0.15,5605
S19S_0026,3.503333333,101,7.641,6,1,NORTHWESTERN FORESTED MOUNTAINS,40,18,40.03489,-105.54327,11,6,9.5,90,0.1,1.22,0.1,0.04,0.22,5316
S19S_0032,2.026666667,90,2.811,7,1,NORTHWESTERN FORESTED MOUNTAINS,64,10,39.95545,-119.02313,39.5,7,13.1,,0.47,2.18,0.18,0.03,1.5,5496
S19S_0034,1.226666667,100,3.838,5,1,NORTHWESTERN FORESTED MOUNTAINS,25,25,35.8677,-106.5233,9.2,7,13.8,85,0.5,3.5,1.17,0.05,0.41,4145
S19S_0040,0.94,175,1.817,6,1,GREAT PLAINS,20,10,39.087889,-96.584725,3,7.5,21.7,100,1.72,31.91,0.1,0.37,0.2,5213
S19S_0042,13.40666667,189,0.702,3,1,TROPICAL WET FORESTS,10,10,25.40976,-80.96434,54,7.5,29.1,100,1719.1,209.18,0.54,0,1.21,32763
S19S_0061,2.646666667,852,0.719,5,1,EASTERN TEMPERATE FORESTS,11.8,23.1,43.1095,-89.6407,78,7.5,16.9,0,28.24,11.81,9.84,0.08,2.52,5877
S19S_0073,6.673333333,376,3.634,2,1,EASTERN TEMPERATE FORESTS,30.1,33.8,42.7688065,-70.9164986,32,6.5,16.9,2,95.35,2.95,0.55,0.03,0.96,9875
S19S_0089,1.706666667,873,3.176,4,1,EASTERN TEMPERATE FORESTS,12,11,37.21008,-80.44539,15,7,20.8,3,36.8,22.55,2.83,0.16,0.81,16672
S19S_0090,1.81,172,2.891,1,1,EASTERN TEMPERATE FORESTS,4,9.05,37.291383,-75.930606,6,6.5,22.9,,20.42,36.51,21.85,0,5.5,9814
