SampleName,Sample,Latitude,Longitude,streamorde,DamDensWs,PctFire2010Ws,PctOw2016Ws,PctIce2016Ws,PctUrbOp2016Ws,PctUrbLo2016Ws,PctUrbMd2016Ws,PctUrbHi2016Ws,PctBl2016Ws,PctDecid2016Ws,PctConif2016Ws,PctMxFst2016Ws,PctShrb2016Ws,PctGrs2016Ws,PctHay2016Ws,PctCrop2016Ws,PctWdWet2016Ws,PctHbWet2016Ws,PrecipWs,TmaxWs,TmeanWs,RunoffWs,PopDen2010Ws,WsAreaSqKm,WWTPAllDensWs,AridityWs,NPPWs
NASQAN2011_051,NASQAN2011_051,41.25889,-95.92251,9,0.010748461,0.002656968,1.307402344,0.006421213,1.15820843,0.425121547,0.179230893,0.043495149,0.547346931,0.579764472,7.301436968,0.107249165,20.47668544,39.50897591,3.580915239,22.73997828,0.49568783,1.542080197,453.7338843,13.58110141,6.651729917,63.114926,3.124978681,780964.9398,0.002954416,0.3193,3696
NASQAN2010_190,NASQAN2010_190,37.20311,-89.04174,9,0.010973157,2.85E-04,1.481258039,0,5.36094698,2.85116687,1.427352535,0.521144759,0.24377203,41.42851088,1.827504587,7.457973079,0.867385124,1.236881542,15.38538348,18.58163398,1.146659352,0.182426759,1185.181025,18.09597772,12.12632171,512.7638263,55.7563499,524097.1251,0.030068854,0.9564,7406
NASQAN2010_155,NASQAN2010_155,41.25889,-95.92251,9,0.010748461,0.002656968,1.307402344,0.006421213,1.15820843,0.425121547,0.179230893,0.043495149,0.547346931,0.579764472,7.301436968,0.107249165,20.47668544,39.50897591,3.580915239,22.73997828,0.49568783,1.542080197,453.7338843,13.58110141,6.651729917,63.114926,3.124978681,780964.9398,0.002954416,0.3193,3696
NASQAN2010_127,NASQAN2010_127,38.95116,-90.37123,9,0.01079325,1.01E-04,2.82981947,0,3.158573499,3.006149597,1.535048162,0.515716577,0.112436297,14.05707225,0.70054198,2.542699529,0.367726262,1.234625232,9.395456888,51.10102056,6.276726694,3.166386996,860.0301442,13.80926042,8.132077889,243.0775662,48.46322985,444073.8582,0.013416687,0.7443,6445
NASQAN2015_227,NASQAN2015_227,29.94937,-85.01547,8,0.028229086,0,1.950293873,0,5.470987846,3.523518489,1.530484374,0.708665976,0.13801431,12.05787466,24.56008255,7.566621325,4.392697256,4.58781127,5.536613538,15.81405405,11.72780954,0.434470942,1311.128665,24.33412924,17.88261541,476.6014249,77.0416697,49771.3608,0.01157292,0.8704,7459
NASQAN2015_101,NASQAN2015_101,29.94937,-85.01547,8,0.028229086,0,1.950293873,0,5.470987846,3.523518489,1.530484374,0.708665976,0.13801431,12.05787466,24.56008255,7.566621325,4.392697256,4.58781127,5.536613538,15.81405405,11.72780954,0.434470942,1311.128665,24.33412924,17.88261541,476.6014249,77.0416697,49771.3608,0.01157292,0.8704,7459
NASQAN2014_089,NASQAN2014_089,31.08657,-87.97722,8,0.024853301,2.55E-04,1.790058588,0,4.762081036,2.29017591,0.968638668,0.329989259,0.187481096,19.37220441,21.54626491,12.4728694,5.104486305,4.367804149,13.18256958,2.30657449,10.5715894,0.747212795,1399.560472,23.27160522,16.83423687,575.3520572,38.52177935,110890.7001,0.032536543,0.9802,5959
NASQAN2014_085,NASQAN2014_085,31.08657,-87.97722,8,0.024853301,2.55E-04,1.790058588,0,4.762081036,2.29017591,0.968638668,0.329989259,0.187481096,19.37220441,21.54626491,12.4728694,5.104486305,4.367804149,13.18256958,2.30657449,10.5715894,0.747212795,1399.560472,23.27160522,16.83423687,575.3520572,38.52177935,110890.7001,0.032536543,0.9802,5959
NASQAN2011_433,NASQAN2011_433,41.01528,-96.15778,8,0.008474807,0.016659754,0.860599756,0.044040875,1.713872669,0.993977669,0.617473278,0.211981205,0.150276688,0.726976847,6.837093326,0.101901425,15.70982964,46.38597225,1.099609953,21.57997514,0.936743695,2.029675576,507.4099852,15.31908864,7.972596202,64.1922867,21.29191178,210860.2503,0.006748546,0.3154,4073
NASQAN2011_429,NASQAN2011_429,41.01528,-96.15778,8,0.008474807,0.016659754,0.860599756,0.044040875,1.713872669,0.993977669,0.617473278,0.211981205,0.150276688,0.726976847,6.837093326,0.101901425,15.70982964,46.38597225,1.099609953,21.57997514,0.936743695,2.029675576,507.4099852,15.31908864,7.972596202,64.1922867,21.29191178,210860.2503,0.006748546,0.3154,4073
NASQAN2011_333,NASQAN2011_333,38.13088,-87.94142,8,0.011814434,0,1.161803631,0,4.760080206,3.216640332,1.599525623,0.559787054,0.132459912,18.40348805,0.14185457,1.396217608,0.090107747,0.541700254,5.261978784,61.11725104,1.399594446,0.217510737,1074.132231,16.95316152,11.33619484,369.6878025,55.84530972,75585.51,0.016908003,0.8752,6160
NASQAN2011_332,NASQAN2011_332,38.13088,-87.94142,8,0.011814434,0,1.161803631,0,4.760080206,3.216640332,1.599525623,0.559787054,0.132459912,18.40348805,0.14185457,1.396217608,0.090107747,0.541700254,5.261978784,61.11725104,1.399594446,0.217510737,1074.132231,16.95316152,11.33619484,369.6878025,55.84530972,75585.51,0.016908003,0.8752,6160
NASQAN2011_330,NASQAN2011_330,38.13088,-87.94142,8,0.011814434,0,1.161803631,0,4.760080206,3.216640332,1.599525623,0.559787054,0.132459912,18.40348805,0.14185457,1.396217608,0.090107747,0.541700254,5.261978784,61.11725104,1.399594446,0.217510737,1074.132231,16.95316152,11.33619484,369.6878025,55.84530972,75585.51,0.016908003,0.8752,6160
NASQAN2011_286,NASQAN2011_286,41.78059,-90.25207,8,0.006920648,2.04E-04,4.247646613,0,3.221067343,1.979856746,1.016659341,0.323620489,0.102983466,19.30868716,1.323122803,4.162494971,0.665924272,1.564646641,9.05742264,37.18799794,10.58769797,5.25017161,787.1720107,12.14284672,6.409819283,217.0416755,28.67168195,220066.1037,0.005048483,0.738,6834
NASQAN2011_282,NASQAN2011_282,41.78059,-90.25207,8,0.006920648,2.04E-04,4.247646613,0,3.221067343,1.979856746,1.016659341,0.323620489,0.102983466,19.30868716,1.323122803,4.162494971,0.665924272,1.564646641,9.05742264,37.18799794,10.58769797,5.25017161,787.1720107,12.14284672,6.409819283,217.0416755,28.67168195,220066.1037,0.005048483,0.738,6834
NASQAN2011_225,NASQAN2011_225,30.69074,-91.73623,8,0.013912345,0.003725478,1.601176449,0.005365992,2.81037195,1.680127577,0.807032648,0.272344786,0.264301719,13.9301314,4.818716649,2.631530612,9.135114034,21.27538956,9.175899008,27.66551682,2.752113558,1.174867244,817.9191279,17.12727574,10.59499962,229.6449355,25.90647308,3119343.764,0.013306339,0.6393,5360
NASQAN2011_219,NASQAN2011_219,30.69074,-91.73623,8,0.013912345,0.003725478,1.601176449,0.005365992,2.81037195,1.680127577,0.807032648,0.272344786,0.264301719,13.9301314,4.818716649,2.631530612,9.135114034,21.27538956,9.175899008,27.66551682,2.752113558,1.174867244,817.9191279,17.12727574,10.59499962,229.6449355,25.90647308,3119343.764,0.013306339,0.6393,5360
NASQAN2011_099,NASQAN2011_099,39.70338,-90.64541,8,0.009401967,0,1.517439664,0,3.594680299,6.280424097,3.647162864,1.460837208,0.154181818,8.833871768,0.077627605,0.769202372,0.082442195,0.585192813,4.61481204,65.7186589,2.019244861,0.644221498,957.9828536,16.04292719,10.44425146,299.1329228,146.7622925,68921.7453,0.038463913,0.7894,7273
NASQAN2011_031,NASQAN2011_031,37.03784,-88.52949,8,0.010390554,0,2.58570244,0,6.131284291,2.70287066,1.182615664,0.41287647,0.174634047,42.64791433,4.470813959,11.28460874,1.706460657,1.751120126,19.31474779,3.826016852,1.630290967,0.178043015,1371.226495,20.17011136,13.92181133,652.1455746,46.98807847,103940.5563,0.024706429,1.0557,7640
NASQAN2011_028,NASQAN2011_028,37.03784,-88.52949,8,0.010390554,0,2.58570244,0,6.131284291,2.70287066,1.182615664,0.41287647,0.174634047,42.64791433,4.470813959,11.28460874,1.706460657,1.751120126,19.31474779,3.826016852,1.630290967,0.178043015,1371.226495,20.17011136,13.92181133,652.1455746,46.98807847,103940.5563,0.024706429,1.0557,7640
NASQAN2010_121,NASQAN2010_121,41.78059,-90.25207,8,0.006920648,2.04E-04,4.247646613,0,3.221067343,1.979856746,1.016659341,0.323620489,0.102983466,19.30868716,1.323122803,4.162494971,0.665924272,1.564646641,9.05742264,37.18799794,10.58769797,5.25017161,787.1720107,12.14284672,6.409819283,217.0416755,28.67168195,220066.1037,0.005048483,0.738,6834
greatmiami_2019_sw_WHONDRS-S19S_0099,S19S_0099,39.2385932,-84.7119066,7,0.01037803,0,0.998524698,0,7.512843493,5.853728959,3.268535432,1.154851083,0.134789454,11.84731648,0.224646067,0.581533428,0.029634818,0.469124247,7.629850242,59.80093165,0.276407248,0.217282703,1017.070493,16.41670514,10.89252149,344.9963901,132.6137958,9924.8121,0.024987879,0.8321,7401
riogrande_2019_sw_WHONDRS-S19S_0066,S19S_0066,35.19845,-106.643178,7,0.003631358,0.235867359,0.260003058,2.53E-04,1.284514578,0.523878836,0.276720138,0.05590626,0.680289076,3.385205018,32.07770034,1.10221412,44.87594098,9.61091543,0.948563439,2.23647402,1.153471149,1.527950452,502.3405791,14.42694365,6.494132964,94.26198861,11.42185641,36625.4154,0.001310565,0.3511,3591
yakimariver_2019_sw_WHONDRS-S19S_0060,S19S_0060,46.2531882,-119.4768203,7,0.002560502,0.469064722,0.673507986,0.064748689,2.740370625,1.69134585,0.787443914,0.200346461,0.619679837,0.062104971,31.15031567,0.029100103,23.0537658,22.94386906,3.389272189,11.13030278,0.892802161,0.571023902,760.0854527,13.24511316,7.534655743,488.4670566,19.99533664,14059.7442,0.011237758,0.7312,5678
tombigeeriver_2019_sw_WHONDRS-S19S_0020,S19S_0020,31.85294,-88.15755,7,0.025508597,0,1.684312089,0,4.051435808,2.053844984,0.861712492,0.281632882,0.186685691,15.7146287,19.27995177,13.61304241,5.171598105,4.120520877,15.07485705,3.227002674,13.54575044,1.133024023,1419.325395,23.25567067,16.84369161,593.0383522,29.29048476,46729.3446,0.033747531,0.9781,5319
flintriver_2019_sw_WHONDRS-S19S_0015,S19S_0015,31.184396,-84.439009,7,0.029886593,0,1.150654313,0,4.651325125,2.990574119,1.128332599,0.593141087,0.16344065,10.78002519,24.26735713,7.221982038,3.766281953,5.359669108,6.305542075,19.46264832,11.71163392,0.447392373,1232.844894,24.37157583,17.87626298,405.2004069,51.6214493,15123.8385,0.004297851,0.8019,6656
altamaha_2019_sw_WHONDRS-S19S_0010,S19S_0010,31.667875,-81.840062,7,0.037530232,0,1.523699062,0,6.108845422,3.930126181,1.617349178,0.642154737,0.28581284,12.01688738,26.22150211,6.93805038,3.620893795,6.113786997,8.492074946,8.164025288,13.65005368,0.674738008,1194.578144,24.17206673,17.71581576,388.4034932,80.61614739,35278.2261,0.005329066,0.7726,7170
NASQAN2016_159,NASQAN2016_159,41.72167,-73.94111,7,0.018781524,0,2.419647211,0,4.428128713,2.595304349,1.431108108,0.498135904,0.210499799,37.53007758,11.80858387,15.39373323,0.461925713,0.830648113,11.51477334,3.09991401,7.146551821,0.630968233,1173.289683,13.10721204,7.359228928,623.8866392,61.92379614,30668.4378,0.022433487,1.1335,9334
NASQAN2016_083,NASQAN2016_083,39.65791,-76.17418,7,0.010832211,0,1.095846801,0,5.424633243,2.490364181,1.200726695,0.493914635,0.328392173,43.83500598,2.515897557,15.00465046,1.010204486,0.61739586,14.80835839,9.351765134,1.500998162,0.321846239,1071.129869,14.43674213,8.746105648,527.4937819,57.85252558,70161.1119,0.033779396,0.9615,8632
NASQAN2016_024,NASQAN2016_024,38.45602,-121.50134,7,0.00533803,0.020277465,1.245053289,0.011947116,2.427317743,1.058845667,0.995237998,0.322070568,0.363337068,0.647815312,40.78222792,1.023200717,24.45614296,13.24314731,0.970129112,10.83212768,0.427209119,1.19419042,991.4558218,19.23557779,12.35026081,455.6343236,37.72813098,59572.5345,8.90E-04,0.5318,5321
